M_RSCP,M_RSRQ,M_SINR,M_CQI,M_QPSK ,M_16QAM,M_64QAM,M_256QAM,M_MIMO,M_Thrpt_Mbps,Thrpt_Good?
-78.18115738,-7.594018405,21.52262488,10.72554243,0,0.164383,0.664383,0.171232,0.34845283,133.8580228,1
-83.66949326,-7.669312492,18.85259037,10.23000731,0,0,0.882352,0.117647,0.081239531,25.39691735,1
-81.69790019,-6.3685412,18.65617721,11.17441522,0,0.619047,0.380952,0,0.394105135,22.94297884,0
-82.00243309,-7.459008497,14.73549252,8.789812772,0.031496,0.086614,0.811023,0.070866,0.193721478,57.11985327,1
-77.59228693,-6.605355479,27.94034219,10.19887266,0.046357,0.2649,0.509933,0.178807,0.328113915,51.18740413,1
-72.01339641,-8.350977013,17.2007479,10.1291578,0.035714,0.071428,0.714285,0.178571,0.190747587,71.17580672,1
-79.25114812,-8.360056618,15.46688161,5.499723458,0.446808,0.127659,0.351063,0.074468,0.243561899,27.90446292,1
-94.1088793,-9.248348489,12.74484286,8.385098932,0.366666,0.506666,0.126666,0,0.386953497,70.6807521,1
-102.7416146,-11.25617626,1.873324572,4.907547278,0.787401,0.204724,0.007874,0,0.142220196,31.64441409,1
-88.44728558,-8.488324728,8.932522567,6.939925636,0.4,0.333333,0.133333,0.133333,0.333333333,25.39691735,1
-81.71472358,-7.982101296,9.980313985,6.323523453,0.224806,0.193798,0.558139,0.023255,0.157162726,57.94222681,1
-93.2456402,-8.752037226,10.29721618,8.437535742,0.459854,0.401459,0.138686,0,0.376480405,40.3053225,1
-102.2454593,-12.02661851,-0.37977208,4.375443659,0.6,0.4,0,0,0,18.85266877,0
-82.43630241,-8.878999842,14.14313125,8.860249911,0.337931,0.372413,0.289655,0,0.280516617,75.06051725,1
-94.36828109,-7.313345705,10.52534453,8.330795841,0.1875,0.4375,0.375,0,0,24.17710473,0
-92.49829004,-8.637750141,9.695402445,8.861197319,0.184049,0.711656,0.104294,0,0.19450561,73.88931842,1
-93.232972,-9.293717418,7.073292767,7.169075951,0.37037,0.592592,0.037037,0,0.499949024,42.72390113,1
-102.6559792,-9.491140611,7.997568226,5.596457663,0.80597,0.149253,0.044776,0,0.225409836,19.44224332,0
-87.24591413,-7.202105294,18.25190594,8.034625261,0.153846,0.296703,0.351648,0.197802,0.131362766,41.42197405,1
-89.86186858,-9.547554136,9.323981781,7.553097922,0.508771,0.368421,0.096491,0.026315,0.268871334,35.86474522,1
